pop_rank,county,Total MSW Managed 2015,Total MSW Managed 2016,Total MSW Managed 2017,Total MSW Managed 2018,Total MSW Managed 2019,Total MSW Managed 2020,Landfilled Tons 2015 ,Landfilled Tons 2016 ,Landfilled Tons 2017 ,Landfilled Tons 2018 ,Landfilled Tons 2019 ,Landfilled Tons 2020 
49,Wakulla ,"13,883","31,853","20,788","13,099","16,997","17,940","11,792","20,733","16,901","10,512","15,292","15,389"
50,Bradford ,"20,979","21,138","28,232","29,730","31,627","31,205","18,426","19,551","19,105","19,746","21,366","21,861"
51,Baker ,"24,821","25,747","23,108","26,599","29,272","40,345","16,051","17,554","19,172","21,787","24,380","24,044"
52,Hardee ,"19,202","20,770","19,980","22,588","25,581","24,873","16,754","17,915","19,411","20,282","20,804","21,219"
53,Washington ,"14,995","22,173","16,727","20,349","15,104","41,114","14,353","20,036","15,203","18,865","14,278","37,610"
54,Taylor ,"19,603","21,876","21,054","46,498","24,209","27,746","16,373","18,205","17,215","39,232","17,996","20,241"
55,Holmes ,"4,390","5,528","5,968","4,692","3,637","6,990","3,711","4,485","4,819","3,831","3,235","5,882"
56,Madison ,"14,519","13,304","16,580","16,442","24,117","22,877","8,284","8,391","12,661","14,061","13,626","17,325"
57,Gilchrist ,"8,428","9,537","5,989","7,735","8,465","11,030","7,959","8,432","4,142","4,408","4,908","8,200"
58,Dixie ,"11,538","10,463","11,078","10,201","10,082","13,074","11,022","10,222","10,819","9,715","10,034","13,010"
59,Union ,"10,322","9,276","8,941","9,441","9,270","10,602","8,364","8,441","8,313","8,946","8,840","10,033"
60,Gulf ,"17,471","18,300","12,910","12,679","13,265","18,019","16,894","17,627","12,833","12,564","7,461","15,742"
61,Hamilton ,"18,803","13,923","5,461","13,151","12,534","4,360","11,359","11,856","3,610","8,531","8,372","3,934"
62,Calhoun ,"12,474","12,084","12,670","12,518","12,219","21,722","11,269","11,364","11,997","11,805","11,065","19,198"
63,Jefferson ,"22,583","23,676","15,906","18,824","15,430","13,256","19,960","21,264","11,854","12,626","15,247","12,912"
64,Glades ,"9,346","13,211","24,449","25,741","24,138","38,365","7,457","12,120","15,715","24,894","21,591","38,300"
65,Franklin ,"24,152","24,817","17,769","27,519","22,578","19,330","18,844","18,844","9,626","26,757","22,149","18,435"
66,Lafayette ,"3,865","3,618","3,821","2,970","3,597","3,973","3,319","3,345","3,366","2,760","3,167","3,766"
67,Liberty ,"6,352","6,660","2,650","2,933","3,142","3,351","5,950","6,150","2,625","2,888","2,862","3,129"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
