Date,"en.wikipedia.org"
2018-01-01,254004895
2018-01-02,271970474
2018-01-03,271754128
2018-01-04,262030351
2018-01-05,258797232
2018-01-06,271726182
2018-01-07,278262904
2018-01-08,286077530
2018-01-09,270794915
2018-01-10,266009404
2018-01-11,270478160
2018-01-12,254774919
2018-01-13,258228010
2018-01-14,286198199
2018-01-15,293352495
2018-01-16,277937692
2018-01-17,276807372
2018-01-18,287623674
2018-01-19,255037913
2018-01-20,248678061
2018-01-21,271949536
2018-01-22,286744283
2018-01-23,274131991
2018-01-24,268980348
2018-01-25,264998286
2018-01-26,258082731
2018-01-27,250203704
2018-01-28,275092457
2018-01-29,286403997
2018-01-30,269390035
2018-01-31,264594182
2018-02-01,259389988
2018-02-02,249143903
2018-02-03,247616770
2018-02-04,270954687
2018-02-05,282862407
2018-02-06,269835535
2018-02-07,263535106
2018-02-08,262974215
2018-02-09,250503379
2018-02-10,248228828
2018-02-11,269435881
2018-02-12,277064820
2018-02-13,264501217
2018-02-14,254280551
2018-02-15,254650697
2018-02-16,248825318
2018-02-17,246495901
2018-02-18,267296223
2018-02-19,279634303
2018-02-20,269090269
2018-02-21,266536143
2018-02-22,261945680
2018-02-23,252988876
2018-02-24,246446816
2018-02-25,276984314
2018-02-26,285124856
2018-02-27,270896674
2018-02-28,263091065
2018-03-01,259948323
2018-03-02,248193965
2018-03-03,248455158
2018-03-04,270825902
2018-03-05,290259506
2018-03-06,268181631
2018-03-07,263749375
2018-03-08,260216863
2018-03-09,248118042
2018-03-10,242508715
2018-03-11,267327597
2018-03-12,278573713
2018-03-13,268124419
2018-03-14,274436000
2018-03-15,260369192
2018-03-16,248456051
2018-03-17,244307938
2018-03-18,265322854
2018-03-19,272784374
2018-03-20,260811340
2018-03-21,259485687
2018-03-22,258118766
2018-03-23,247161719
2018-03-24,238161811
2018-03-25,256805417
2018-03-26,268421339
2018-03-27,260428454
2018-03-28,254185785
2018-03-29,246477844
2018-03-30,245116497
2018-03-31,239811905
2018-04-01,252675261
2018-04-02,272919397
2018-04-03,266684634
2018-04-04,260871840
2018-04-05,253103719
2018-04-06,246901570
2018-04-07,246829840
2018-04-08,267289432
2018-04-09,276232602
2018-04-10,262767445
2018-04-11,265038607
2018-04-12,258728356
2018-04-13,245229556
2018-04-14,238878257
2018-04-15,270245924
2018-04-16,276097734
2018-04-17,262640494
2018-04-18,257893371
2018-04-19,247415497
2018-04-20,240716754
2018-04-21,236492726
2018-04-22,254709218
2018-04-23,265359703
2018-04-24,262869032
2018-04-25,264210926
2018-04-26,251982187
2018-04-27,243941232
2018-04-28,231240109
2018-04-29,248990541
2018-04-30,261397566
2018-05-01,253688752
2018-05-02,246476978
2018-05-03,246863030
2018-05-04,237574932
2018-05-05,231603196
2018-05-06,245260367
2018-05-07,261996660
